URLLength,DomainLength,IsDomainIP,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,TLD_freq
21,13,0,68.89264582,0.625,0.0003718,0.0542573,4,0,0,0,0.0,11,0.524,0,0.0,0,0,0,2,0.095,1,0.0013259536172870133
43,35,0,53.44217687,0.612903226,0.5229071,0.059969088,3,1,0,0,0.0,33,0.767,0,0.0,0,0,0,2,0.047,1,0.4765905027502844
23,17,0,65.81196581,1.0,0.0075051,0.052361713,4,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,0.006693927132432826
29,22,0,100.0,0.571428571,0.5229071,0.060472628,3,1,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,1,0.4765905027502844
17,10,0,100.0,1.0,0.0016589,0.056732384,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,1,0.002138634866591957
26,19,0,100.0,1.0,0.5229071,0.056523357,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
30,23,0,100.0,1.0,0.5229071,0.068344205,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.4765905027502844
30,23,0,79.27977839,1.0,0.5229071,0.057598093,3,1,0,0,0.0,18,0.6,0,0.0,0,0,0,1,0.033,0,0.4765905027502844
28,21,0,100.0,0.615384615,0.0799628,0.059733735,3,1,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,1,0.07914659914283514
26,19,0,100.0,1.0,0.5229071,0.056020732,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
34,27,0,100.0,1.0,0.5229071,0.062981329,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,1,0.4765905027502844
22,15,0,100.0,1.0,0.5229071,0.06542753,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,0.4765905027502844
19,12,0,100.0,1.0,0.0038776,0.069934085,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,0.0022070711823228995
31,24,0,100.0,1.0,0.5229071,0.056585863,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,1,0.4765905027502844
25,17,0,57.74702038,0.384615385,0.001502,0.037189343,3,1,0,0,0.0,13,0.52,0,0.0,0,0,0,4,0.16,1,0.02636936790507883
25,18,0,100.0,1.0,0.5229071,0.061602279,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,0.4765905027502844
30,23,0,100.0,1.0,0.5229071,0.059982478,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,0.4765905027502844
30,23,0,100.0,0.533333333,0.5229071,0.064989829,3,1,0,0,0.0,15,0.5,0,0.0,0,0,0,3,0.1,1,0.4765905027502844
26,19,0,100.0,1.0,0.5229071,0.066022665,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,0.4765905027502844
29,21,0,39.99175428,0.764705882,0.0017496,0.033834818,3,1,0,0,0.0,19,0.655,0,0.0,0,0,0,2,0.069,1,0.006266200159114434
32,25,0,100.0,0.705882353,0.5229071,0.056605588,3,1,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,0.4765905027502844
