URLLength,DomainLength,IsDomainIP,TLDLegitimateProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,TLD_freq
21,13,0,0.0003718,4,0,0,0,0.0,11,0.524,0,0.0,0,0,0,2,0.095,0.001325953617287
43,35,0,0.5229071,3,1,0,0,0.0,33,0.767,0,0.0,0,0,0,2,0.047,0.4765905027502844
23,17,0,0.0075051,4,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0.0066939271324328
29,22,0,0.5229071,3,1,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,0.4765905027502844
17,10,0,0.0016589,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,0.0021386348665919
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,18,0.6,0,0.0,0,0,0,1,0.033,0.4765905027502844
28,21,0,0.0799628,3,1,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,0.0791465991428351
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
34,27,0,0.5229071,3,1,0,0,0.0,21,0.618,0,0.0,0,0,0,1,0.029,0.4765905027502844
22,15,0,0.5229071,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,0.4765905027502844
19,12,0,0.0038776,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.0022070711823228
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
25,17,0,0.001502,3,1,0,0,0.0,13,0.52,0,0.0,0,0,0,4,0.16,0.0263693679050788
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,15,0.5,0,0.0,0,0,0,3,0.1,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
29,21,0,0.0017496,3,1,0,0,0.0,19,0.655,0,0.0,0,0,0,2,0.069,0.0062662001591144
32,25,0,0.5229071,3,1,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,0.4765905027502844
33,26,0,0.0799628,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.0791465991428351
17,10,0,0.0009815,2,1,0,0,0.0,4,0.235,0,0.0,0,0,0,1,0.059,0.0008468994071704
34,7,0,0.0002773,2,0,0,0,0.0,21,0.618,1,0.029,0,0,0,5,0.147,0.0003165179602556
22,15,0,0.5229071,3,1,0,0,0.0,7,0.318,2,0.091,0,0,0,1,0.045,0.4765905027502844
34,28,0,0.5229071,3,2,0,0,0.0,21,0.618,0,0.0,0,0,0,2,0.059,0.4765905027502844
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
23,16,0,0.0326503,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.017049197156471
107,20,0,0.0001819,5,1,0,0,0.0,83,0.776,10,0.093,0,0,0,6,0.056,0.0017151851630067
30,23,0,0.5229071,3,1,0,0,0.0,15,0.5,0,0.0,0,0,0,3,0.1,0.4765905027502844
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
26,20,0,0.0799628,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,2,0.077,0.0791465991428351
27,21,0,0.0064109,2,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0.0030154751618946
40,32,0,0.0017496,3,4,0,0,0.0,19,0.475,5,0.125,0,0,0,5,0.125,0.0062662001591144
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
33,26,0,0.5229071,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.4765905027502844
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
41,33,0,0.001502,3,1,0,0,0.0,28,0.683,1,0.024,0,0,0,4,0.098,0.0263693679050788
124,47,0,0.5229071,3,4,0,0,0.0,87,0.702,17,0.137,1,1,0,11,0.105,0.4765905027502844
34,25,0,0.5229071,3,1,0,0,0.0,23,0.676,0,0.0,0,0,0,3,0.088,0.4765905027502844
26,19,0,0.028555,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,0.0272718718187806
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
30,23,0,0.5229071,3,1,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,0.4765905027502844
33,26,0,0.0799628,3,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.0791465991428351
50,19,0,0.0010349,2,1,0,0,0.0,35,0.7,2,0.04,0,0,0,5,0.1,0.0015654807223453
30,22,0,0.0799628,3,1,0,0,0.0,20,0.667,0,0.0,0,0,0,3,0.1,0.0791465991428351
21,14,0,0.0023289,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.0017194624327399
29,22,0,0.012178,2,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.0080626534470516
63,53,0,0.0002752,3,5,0,0,0.0,46,0.73,0,0.0,0,0,0,6,0.095,0.0099189885112534
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
27,21,0,0.0003718,4,2,0,0,0.0,14,0.519,0,0.0,0,0,0,2,0.074,0.001325953617287
24,17,0,0.0100856,2,2,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,0.0127077683772894
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
27,21,0,0.5229071,3,1,0,0,0.0,15,0.556,0,0.0,0,0,0,1,0.037,0.4765905027502844
33,25,0,0.5229071,3,1,0,0,0.0,16,0.485,6,0.182,0,0,0,4,0.121,0.4765905027502844
29,23,0,0.0100856,2,3,0,0,0.0,14,0.483,1,0.034,0,0,0,3,0.103,0.0127077683772894
29,22,0,0.5229071,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
27,20,0,0.0799628,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.0791465991428351
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
28,21,0,0.0799628,3,1,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,0.0791465991428351
26,19,0,9.16e-05,2,2,0,0,0.0,12,0.462,0,0.0,0,0,0,2,0.077,0.0001497044406614
40,32,0,0.5229071,3,1,0,0,0.0,16,0.4,12,0.3,0,0,0,4,0.1,0.4765905027502844
27,20,0,0.0799628,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.0791465991428351
30,21,0,0.001502,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,5,0.167,0.0263693679050788
32,24,0,0.0129268,2,1,0,0,0.0,22,0.688,0,0.0,0,0,0,3,0.094,0.017955978339906
51,13,0,0.5229071,3,0,0,0,0.0,36,0.706,0,0.0,0,0,0,7,0.137,0.4765905027502844
26,18,0,0.0009613,3,1,0,0,0.0,14,0.538,2,0.077,0,0,0,3,0.115,0.0100301975243162
45,17,0,0.5229071,3,0,0,0,0.0,32,0.711,0,0.0,0,0,0,5,0.111,0.4765905027502844
38,30,0,0.0017656,4,1,0,0,0.0,26,0.684,0,0.0,0,0,0,5,0.132,0.006304695586713
27,20,0,0.5229071,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,0.4765905027502844
21,14,0,0.0799628,3,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,0.0791465991428351
24,17,0,0.5229071,3,1,0,0,0.0,10,0.417,0,0.0,0,0,0,2,0.083,0.4765905027502844
26,19,0,0.5229071,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,0.4765905027502844
36,29,0,0.5229071,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,0.4765905027502844
19,12,0,0.5229071,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.4765905027502844
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
25,18,0,0.0326503,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.017049197156471
28,21,0,0.5229071,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,0.4765905027502844
16,9,0,0.0023289,2,1,0,0,0.0,3,0.188,0,0.0,0,0,0,1,0.062,0.0017194624327399
34,27,0,0.028555,2,2,0,0,0.0,20,0.588,0,0.0,0,0,0,2,0.059,0.0272718718187806
36,27,0,0.5229071,3,1,0,0,0.0,20,0.556,5,0.139,0,0,0,3,0.083,0.4765905027502844
23,16,0,3.06e-05,5,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,2.99408881322874e-05
31,24,0,0.5229071,3,1,0,0,0.0,18,0.581,0,0.0,0,0,0,1,0.032,0.4765905027502844
51,43,0,0.0059772,2,2,0,0,0.0,38,0.745,2,0.039,0,0,0,3,0.059,0.0231913564933231
29,22,0,0.0100856,2,2,0,0,0.0,15,0.517,0,0.0,0,0,0,2,0.069,0.0127077683772894
23,16,0,0.0059772,2,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,0.0231913564933231
28,21,0,0.5229071,3,1,0,0,0.0,16,0.571,0,0.0,0,0,0,1,0.036,0.4765905027502844
25,18,0,0.5229071,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,0.4765905027502844
24,17,0,0.5229071,3,1,0,0,0.0,8,0.333,3,0.125,0,0,0,1,0.042,0.4765905027502844
31,24,0,0.028555,2,2,0,0,0.0,17,0.548,0,0.0,0,0,0,2,0.065,0.0272718718187806
33,26,0,0.012178,2,1,0,0,0.0,20,0.606,0,0.0,0,0,0,1,0.03,0.0080626534470516
67,20,0,0.0004041,4,1,0,0,0.0,51,0.761,0,0.0,1,1,0,6,0.119,0.0017151851630067
58,37,0,3e-06,5,1,0,0,0.0,47,0.81,0,0.0,0,0,0,4,0.069,2.99408881322874e-05
19,12,0,0.0326503,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.017049197156471
19,12,0,0.0799628,3,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.0791465991428351
19,12,0,0.0040185,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,0.0030069206224282
24,17,0,0.5229071,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,0.4765905027502844
20,13,0,0.0799628,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,0.0791465991428351
